plant_type,soil_type,pot_size,growth_stage,moisture,temperature,humidity,light,sunlight_hours,time_since_last_water,watering_frequency,water_needed,health_score
Monstera,loamy,large,mature,69.3,34.5,91.0,236.8,3.3,46.3,4,0,97.5
Monstera,clay,small,seedling,77.2,25.4,74.91151299134135,254.2,3.5,24.7,5,0,100.0
Monstera,clay,medium,mature,81.4,17.5,69.06904446879028,230.5,3.4,37.1,5,0,94.2
Fern,clay,large,mature,46.3,31.3,84.64149689226271,428.8,4.3,36.5,5,1,98.1
Fern,sandy,large,young,76.0,22.6,73.24458391735924,598.8,4.1,15.7,3,0,98.1
Money Plant,clay,large,seedling,61.1,16.3,56.0,439.7,6.5,27.9,4,0,83.8
Aloe Vera,clay,large,seedling,20.0,29.8,25.2,475.2,6.9,10.7,1,0,87.0
Fern,clay,medium,seedling,66.6,20.4,71.90236456354226,399.9,5.8,55.1,5,0,100.0
Aloe Vera,sandy,small,mature,5.2,33.4,47.1,508.3,7.0,51.2,1,1,88.1
Monstera,loamy,medium,seedling,51.0,21.0,73.3,115.0,3.9,30.5,3,1,100.0
Money Plant,loamy,small,mature,62.6,23.2,50.8,344.6,6.7,2.9,2,0,96.1
Monstera,sandy,small,young,81.6,37.4,79.72602810407665,539.8,5.2,8.0,4,0,86.6
Fern,loamy,small,mature,49.5,28.7,92.0,552.8,5.1,23.4,5,1,99.4
Spider Plant,sandy,small,seedling,34.3,35.0,88.4,979.4,7.3,26.3,1,1,88.0
Spider Plant,loamy,large,young,23.6,20.7,25.3,581.9,5.6,41.8,2,0,95.5
Spider Plant,sandy,large,young,31.7,24.9,60.0,729.8,8.6,46.5,2,0,99.9
Aloe Vera,loamy,large,mature,15.2,16.4,72.5,353.4,6.1,53.4,1,0,72.4
Jade Plant,clay,large,mature,33.4,37.6,83.5,1157.5,7.7,1.3,1,1,79.5
Tulsi,sandy,small,mature,61.8,25.2,91.4,532.0,4.3,2.7,3,0,100.0
Areca Palm,sandy,large,seedling,40.8,37.0,72.5,554.5,4.6,18.2,2,1,81.1
Areca Palm,clay,large,young,49.1,35.6,88.9,494.7,4.2,49.4,4,0,92.5
Aloe Vera,loamy,large,mature,21.0,34.7,30.1,826.8,8.3,46.7,1,1,96.5
Money Plant,clay,small,seedling,71.5,26.0,36.2,569.3,6.6,9.1,2,0,96.5
Aloe Vera,loamy,medium,young,27.2,32.2,37.7,972.3,7.3,23.3,1,0,100.0
Fern,clay,small,mature,50.8,36.5,84.25393401166933,508.1,4.1,53.5,3,1,79.6
Tulsi,clay,large,mature,51.4,16.2,45.4,473.9,5.1,9.9,3,0,93.8
Areca Palm,clay,small,mature,34.6,24.6,73.5,585.2,6.7,31.7,3,1,100.0
Monstera,clay,small,young,63.6,25.6,76.42457472025328,460.9,4.2,1.0,4,0,95.0
Jade Plant,clay,medium,young,29.1,26.0,57.1,651.8,10.0,65.2,1,0,100.0
Jade Plant,clay,small,mature,4.3,22.0,52.9,907.6,8.4,71.2,1,1,88.9
Snake Plant,loamy,large,young,13.6,20.9,55.6,644.7,8.3,37.1,1,1,99.2
Peace Lily,clay,large,mature,76.3,24.1,84.14907961619309,420.4,5.9,22.0,3,0,99.7
Jade Plant,clay,large,seedling,9.4,18.3,65.8,352.3,6.5,54.8,1,1,72.6
Fern,loamy,medium,seedling,52.3,37.6,87.71311395339818,220.8,2.3,70.4,4,1,65.6
Monstera,loamy,small,mature,47.6,25.1,90.2,505.5,5.1,35.0,3,1,100.0
Peace Lily,sandy,small,young,80.2,25.7,88.94535783665714,145.2,2.2,30.6,4,0,100.0
Peace Lily,loamy,medium,mature,70.7,23.7,74.42993538762116,398.3,4.7,4.9,4,0,95.3
Jade Plant,sandy,small,mature,18.7,25.8,82.1,616.8,8.9,12.7,1,0,83.7
Tulsi,clay,large,young,65.2,28.0,36.4,504.8,4.7,12.6,4,0,95.8
Tulsi,loamy,medium,young,51.5,35.8,80.3,507.8,5.4,47.8,4,0,94.4
Aloe Vera,loamy,medium,young,17.9,28.7,77.4,1098.8,7.2,12.0,1,0,81.5
Jade Plant,loamy,medium,mature,4.9,29.9,28.9,809.5,7.1,51.8,1,1,84.4
Money Plant,loamy,medium,seedling,41.7,35.7,94.7,560.5,6.3,56.8,4,1,68.0
Spider Plant,loamy,large,mature,18.1,29.0,51.6,602.9,7.8,38.2,2,1,98.4
Snake Plant,clay,medium,mature,35.2,30.1,81.0,323.7,6.6,19.6,2,0,100.0
Fern,sandy,small,young,70.7,26.6,72.44196650048572,166.1,3.0,40.7,5,0,100.0
Spider Plant,sandy,small,young,15.0,23.6,42.0,665.6,7.7,64.9,2,1,80.9
Money Plant,loamy,large,young,72.0,33.4,85.3,427.3,5.2,36.8,3,0,100.0
Peace Lily,loamy,small,seedling,66.1,16.8,77.50280345462483,263.7,2.8,32.7,3,0,81.9
Monstera,loamy,large,seedling,48.5,35.2,90.044912358006,169.2,3.1,69.7,5,1,65.0
Tulsi,sandy,medium,young,62.9,21.8,82.8,578.2,6.6,66.3,4,0,100.0
Snake Plant,loamy,large,seedling,45.1,37.3,84.8,753.2,8.9,52.5,2,0,77.8
Monstera,clay,small,young,62.0,19.0,76.86226394204078,375.6,4.2,34.2,3,0,100.0
Tulsi,sandy,medium,young,47.7,16.8,37.8,403.2,6.4,10.4,2,0,93.3
Tulsi,clay,medium,young,60.0,29.3,60.2,462.5,5.8,33.2,3,0,99.7
Monstera,clay,medium,mature,54.8,20.9,68.24600536165552,283.6,2.0,66.7,3,1,81.4
Jade Plant,loamy,small,young,22.7,37.9,89.2,861.0,9.9,50.1,1,1,58.3
Snake Plant,loamy,large,seedling,33.2,20.8,87.7,552.1,4.6,60.6,1,0,100.0
Monstera,clay,large,seedling,58.0,24.7,92.23926682806045,172.0,2.3,39.9,3,0,99.0
Tulsi,loamy,small,seedling,36.0,37.2,81.8,375.7,5.0,2.2,3,1,78.2
Aloe Vera,sandy,medium,seedling,22.9,18.0,34.1,748.8,7.2,15.3,1,0,89.4
Tulsi,loamy,large,young,59.9,16.6,54.0,561.7,4.9,25.4,3,0,86.9
Snake Plant,sandy,small,mature,10.7,16.8,63.1,446.5,6.8,54.6,1,1,70.5
Spider Plant,clay,small,young,39.0,31.0,45.9,413.0,6.6,25.5,2,0,98.3
Monstera,sandy,large,seedling,69.4,18.8,84.8,134.3,2.3,47.7,3,0,92.0
Spider Plant,clay,large,seedling,52.0,36.0,47.1,576.7,6.0,43.6,2,0,82.6
Tulsi,loamy,large,seedling,74.5,37.9,83.8,398.5,6.7,3.2,3,0,75.8
Aloe Vera,loamy,small,mature,18.1,27.4,85.7,1052.8,9.2,12.1,1,0,87.5
Money Plant,sandy,medium,young,37.1,27.0,93.6,524.7,6.8,39.3,3,1,96.4
Fern,loamy,large,young,62.1,19.3,94.35450740916363,344.9,4.9,36.4,4,0,100.0
Areca Palm,loamy,small,young,61.2,25.1,30.6,461.1,4.5,59.3,3,0,97.7
Peace Lily,loamy,large,young,59.6,26.0,93.3913935926787,260.8,2.5,60.4,3,0,100.0
Money Plant,sandy,medium,young,59.0,19.9,62.2,582.5,4.7,55.9,3,0,97.2
Tulsi,sandy,large,young,70.8,33.8,81.7,349.0,4.9,18.3,2,0,100.0
Tulsi,clay,medium,young,57.4,21.7,53.7,594.3,6.1,57.3,4,0,100.0
Areca Palm,loamy,small,young,70.4,17.4,54.1,320.7,6.6,56.8,4,0,89.2
Monstera,clay,large,young,76.0,20.4,73.30397726077791,292.8,2.0,20.1,4,0,100.0
Monstera,loamy,large,young,51.7,26.5,81.82598870012853,238.0,2.3,20.4,3,1,100.0
Peace Lily,loamy,medium,mature,76.9,25.1,68.37031728557241,582.0,4.5,42.0,3,0,100.0
Monstera,sandy,medium,young,66.6,15.7,71.30608325616653,125.8,2.2,51.7,5,0,87.3
Aloe Vera,loamy,large,seedling,32.3,31.0,41.9,1120.3,8.0,27.1,1,0,90.4
Aloe Vera,clay,medium,mature,30.5,29.4,47.4,645.4,9.1,38.9,1,0,95.2
Snake Plant,clay,small,seedling,21.2,25.5,83.6,338.8,6.3,47.2,2,0,99.9
Fern,clay,small,young,59.9,36.3,72.8831810220614,474.4,4.8,64.7,5,0,88.5
Areca Palm,clay,large,young,48.5,29.1,51.0,494.6,5.0,49.6,3,0,98.9
Jade Plant,loamy,large,seedling,13.4,25.2,46.0,1103.9,9.6,64.6,1,0,100.0
Jade Plant,clay,small,mature,24.7,22.2,76.7,1085.4,7.5,4.4,1,0,84.5
Fern,loamy,large,seedling,70.7,32.8,90.57831743619246,512.9,4.4,6.7,3,0,93.3
Peace Lily,clay,medium,mature,76.3,21.8,87.63221955477563,442.1,4.7,27.8,3,0,100.0
Monstera,clay,small,seedling,50.0,26.8,79.2,505.0,4.9,17.4,3,1,100.0
Snake Plant,sandy,large,young,42.6,35.2,45.0,599.6,6.9,31.4,1,1,87.9
Money Plant,loamy,medium,seedling,67.3,19.0,75.2,549.1,5.1,11.9,2,0,99.8
Peace Lily,loamy,large,seedling,75.8,31.3,91.95843554177003,260.1,2.4,47.2,5,0,94.0
Peace Lily,clay,medium,seedling,46.4,17.0,88.0,292.6,3.2,70.4,3,1,62.6
Fern,loamy,medium,young,73.7,16.6,75.13418699962392,192.3,2.7,39.4,5,0,85.9
Areca Palm,sandy,medium,seedling,32.2,17.7,33.2,564.9,5.9,51.0,2,1,65.0
Aloe Vera,sandy,small,young,5.7,28.6,46.4,1170.5,8.5,3.7,1,1,100.0
Fern,loamy,small,mature,74.9,23.7,66.58895674419107,332.3,5.3,41.5,3,0,100.0
Fern,sandy,small,mature,82.6,20.0,88.58242433046297,188.5,2.8,10.9,5,0,100.0
Spider Plant,clay,small,young,40.6,37.4,74.8,651.0,8.6,61.8,1,1,72.2
Fern,loamy,small,mature,74.5,17.6,61.25176490274877,309.1,5.3,17.2,4,0,87.1
Tulsi,sandy,small,young,43.9,36.9,43.4,323.0,6.9,64.4,2,1,74.7
Spider Plant,clay,small,mature,42.7,26.4,49.3,991.8,7.5,10.9,2,0,95.8
Spider Plant,loamy,small,seedling,38.6,24.1,83.5,591.7,4.5,48.4,1,0,100.0
Money Plant,clay,large,young,72.8,37.5,93.0,557.9,5.8,14.8,4,0,89.2
Areca Palm,sandy,small,young,66.0,28.7,44.7,481.4,5.2,62.0,3,0,96.4
Aloe Vera,sandy,large,young,23.9,16.4,59.5,1091.3,7.3,56.3,1,0,90.8
Snake Plant,clay,large,seedling,21.0,27.9,38.9,309.2,5.1,54.2,2,0,98.4
Fern,clay,medium,young,65.3,35.3,81.80679288234192,373.0,4.6,24.1,3,0,92.3
Jade Plant,clay,small,seedling,31.4,27.1,87.3,684.8,9.4,26.9,1,0,89.5
Monstera,clay,medium,seedling,79.6,19.9,87.3603050100611,575.8,5.9,37.4,4,0,96.7
Aloe Vera,clay,medium,mature,24.5,27.9,39.4,563.4,6.8,60.6,1,0,96.9
Aloe Vera,loamy,small,seedling,10.8,20.9,41.5,786.7,7.5,30.3,1,0,100.0
Fern,clay,large,young,60.5,36.7,86.83533760228588,180.1,2.5,7.6,4,0,88.3
Tulsi,loamy,medium,young,46.6,24.2,33.5,331.0,4.0,53.9,3,0,97.7
Snake Plant,clay,medium,seedling,42.3,27.5,74.5,643.6,8.5,38.8,2,0,96.2
Monstera,clay,small,seedling,64.8,35.2,73.98840212224462,534.8,5.0,24.6,3,0,82.1
Monstera,clay,medium,young,82.1,19.0,77.72950128731941,269.9,3.0,56.1,4,0,100.0
Aloe Vera,clay,medium,seedling,9.6,37.7,81.5,1006.0,9.5,45.5,1,1,63.1
Peace Lily,loamy,medium,mature,43.0,24.4,89.79293877644953,291.1,2.4,46.3,3,1,96.4
Areca Palm,sandy,small,mature,65.7,23.7,66.1,329.7,4.4,61.7,4,0,100.0
Areca Palm,loamy,small,young,46.8,33.4,41.2,397.5,6.8,48.9,2,0,99.5
Jade Plant,sandy,medium,seedling,7.4,33.0,67.3,1144.1,8.7,2.4,1,1,86.1
Aloe Vera,clay,large,young,32.3,34.7,77.8,544.9,7.0,45.2,1,1,85.6
Aloe Vera,loamy,medium,young,7.6,15.8,73.4,942.2,7.9,51.3,1,1,60.8
Snake Plant,clay,small,mature,39.2,37.0,42.9,398.8,6.1,9.9,2,1,85.8
Areca Palm,loamy,large,young,47.5,34.4,34.1,303.6,4.0,29.9,4,0,100.0
Snake Plant,loamy,medium,seedling,40.8,21.2,57.3,791.4,7.5,13.3,2,0,98.1
Snake Plant,clay,large,seedling,30.7,27.7,82.6,1012.1,7.6,49.2,2,0,95.5
Snake Plant,clay,small,young,19.0,27.8,91.2,802.7,7.2,29.2,2,1,95.7
Aloe Vera,sandy,medium,mature,22.2,21.9,44.7,704.2,9.4,50.8,1,0,100.0
Aloe Vera,clay,large,young,31.2,32.8,80.1,721.2,9.6,15.4,1,0,81.7
Fern,clay,large,young,67.2,34.8,71.1,283.7,2.8,29.8,5,0,98.3
Monstera,loamy,medium,mature,55.7,25.9,83.0,595.4,4.9,60.2,5,0,100.0
Areca Palm,sandy,large,mature,71.8,33.2,44.4,473.1,5.5,8.4,2,0,99.2
Snake Plant,clay,medium,young,17.7,20.9,74.9,1113.8,9.0,17.4,1,1,100.0
Areca Palm,clay,medium,seedling,70.3,31.8,46.1,544.0,6.9,48.3,2,0,94.2
Peace Lily,loamy,small,seedling,62.3,26.4,79.58487505923338,518.4,5.4,33.0,4,0,95.6
Fern,loamy,small,mature,56.0,18.4,65.48884446195599,518.1,5.0,40.0,3,0,95.3
Tulsi,sandy,medium,young,58.8,28.2,66.0,518.4,5.2,10.7,4,0,99.3
Aloe Vera,loamy,small,mature,4.0,29.9,50.3,1054.8,7.2,48.1,1,1,81.3
Snake Plant,loamy,small,seedling,31.8,19.3,94.5,543.2,6.2,35.1,1,0,100.0
Fern,loamy,large,mature,73.3,24.6,75.0,260.1,2.1,57.2,5,0,100.0
Jade Plant,loamy,small,young,23.9,26.6,66.6,895.0,8.8,21.9,1,0,99.4
Spider Plant,loamy,small,mature,32.5,24.4,29.1,761.4,7.4,24.5,2,0,98.2
Tulsi,clay,medium,young,63.8,23.3,44.3,330.9,4.5,71.9,4,0,97.7
Areca Palm,loamy,medium,seedling,42.5,34.8,81.5,526.4,6.3,4.4,3,1,89.4
Tulsi,clay,large,seedling,64.4,16.3,33.8,376.7,6.9,12.4,4,0,84.3
Areca Palm,sandy,small,seedling,31.3,29.1,75.1,546.0,6.3,55.8,3,1,70.4
Spider Plant,sandy,medium,seedling,38.9,25.0,49.0,523.4,6.3,26.5,2,0,96.3
Fern,sandy,medium,mature,42.5,28.2,93.8,419.8,5.5,66.5,4,1,84.1
Aloe Vera,sandy,small,young,8.2,25.0,40.2,583.1,6.6,50.2,1,1,81.6
Fern,sandy,medium,seedling,76.4,35.6,83.59592926640053,250.2,2.7,15.0,4,0,75.4
Aloe Vera,loamy,medium,mature,2.8,31.1,87.0,787.3,8.8,47.2,1,1,82.5
Money Plant,sandy,large,young,42.0,15.3,38.8,489.7,6.0,38.7,2,0,93.1
Aloe Vera,loamy,medium,young,5.5,24.2,78.6,892.1,7.4,39.4,1,1,89.2
Monstera,clay,small,young,72.2,17.3,73.00895818580639,503.3,5.7,34.4,5,0,89.2
Spider Plant,loamy,small,mature,45.8,29.4,45.7,518.4,5.5,49.8,2,0,96.0
Areca Palm,loamy,large,mature,59.7,33.2,57.4,397.0,4.9,51.4,3,0,100.0
Areca Palm,sandy,large,mature,55.4,24.9,62.1,339.8,6.2,71.4,3,0,97.1
Jade Plant,sandy,small,mature,13.5,25.5,88.7,1003.3,9.7,62.1,1,0,86.8
Snake Plant,loamy,medium,seedling,32.6,20.5,31.6,1078.7,8.8,56.1,2,0,100.0
Money Plant,sandy,medium,seedling,67.3,24.1,55.4,491.4,5.6,55.3,4,0,99.0
Areca Palm,sandy,medium,young,45.6,24.6,31.6,459.6,5.7,17.8,4,0,100.0
Peace Lily,loamy,large,seedling,65.7,35.5,70.86468409845436,414.3,5.4,11.0,3,0,78.3
Jade Plant,clay,small,mature,24.6,25.2,39.4,957.9,7.7,18.5,1,0,98.4
Jade Plant,clay,small,seedling,26.6,27.8,49.4,817.4,7.1,56.1,1,0,100.0
Aloe Vera,sandy,medium,seedling,3.0,26.8,40.2,654.6,9.0,47.7,1,1,100.0
Areca Palm,sandy,medium,mature,71.4,23.6,72.8,497.0,6.2,33.2,3,0,100.0
Tulsi,sandy,large,seedling,42.8,21.6,60.3,319.6,5.8,48.1,2,0,95.1
Snake Plant,loamy,small,seedling,32.5,28.9,46.2,1036.4,7.6,53.8,2,0,97.1
Tulsi,clay,medium,young,64.7,36.3,56.3,359.3,5.9,33.8,4,0,88.6
Peace Lily,loamy,medium,seedling,44.0,26.1,83.4813355342471,448.7,4.4,66.1,5,1,82.9
Peace Lily,loamy,large,seedling,62.2,15.3,85.05203503755112,292.3,3.7,60.1,3,0,77.5
Areca Palm,sandy,large,seedling,67.2,27.4,78.8,567.6,6.3,51.2,4,0,96.3
Jade Plant,sandy,large,young,31.2,23.9,49.1,865.5,8.2,57.5,1,0,98.0
Areca Palm,clay,small,mature,54.2,27.2,77.8,544.6,4.8,25.5,3,0,100.0
Spider Plant,loamy,medium,mature,19.5,19.9,27.8,371.9,4.3,36.8,2,1,100.0
Jade Plant,loamy,medium,young,21.4,24.0,67.6,733.4,7.1,55.8,1,0,97.3
Monstera,loamy,medium,mature,50.7,22.6,94.8,264.5,3.6,36.3,3,1,95.6
Fern,loamy,small,seedling,69.6,22.6,74.95083007979551,476.2,5.6,4.2,4,0,99.8
Monstera,clay,medium,young,49.7,24.9,90.84692755987606,137.3,3.7,8.3,5,1,98.4
Aloe Vera,loamy,large,mature,13.5,24.3,46.9,1026.1,9.2,51.2,1,0,100.0
Jade Plant,loamy,small,seedling,12.8,33.1,46.2,728.9,8.4,26.8,1,1,93.5
Spider Plant,loamy,large,mature,21.5,24.2,32.0,300.1,5.6,62.1,2,0,96.7
Peace Lily,clay,small,mature,79.2,15.3,94.4,170.8,3.2,33.5,3,0,94.6
Snake Plant,clay,large,seedling,47.1,23.8,89.0,1062.4,7.0,8.3,2,0,100.0
Peace Lily,sandy,medium,young,75.2,17.8,67.79139261071381,423.5,5.7,31.5,5,0,90.0
Areca Palm,sandy,medium,seedling,58.5,27.3,69.9,361.2,5.8,11.7,2,0,100.0
Fern,loamy,medium,seedling,46.1,26.3,88.8,366.0,5.9,58.5,4,1,80.7
Aloe Vera,clay,large,young,21.4,18.8,34.4,1063.0,9.8,19.1,1,0,100.0
Aloe Vera,clay,large,seedling,14.7,36.5,58.0,831.2,8.2,51.6,1,1,62.5
Money Plant,clay,medium,seedling,71.3,16.6,89.3,536.7,6.7,53.3,2,0,82.2
Aloe Vera,sandy,medium,mature,6.3,37.9,50.9,1004.3,7.3,12.1,1,1,86.2
Spider Plant,sandy,large,seedling,38.3,27.5,87.9,1026.3,8.3,56.2,1,0,100.0
Jade Plant,loamy,small,seedling,20.0,16.4,47.7,1061.4,9.0,41.8,1,0,84.2
Money Plant,clay,small,seedling,60.2,17.6,44.9,497.4,5.3,36.4,4,0,81.1
Snake Plant,sandy,large,mature,44.0,23.9,32.5,815.6,8.8,24.8,1,0,95.9
Tulsi,sandy,small,young,61.5,15.1,33.6,567.0,6.8,55.3,2,0,87.5
Spider Plant,sandy,large,mature,47.6,16.7,67.8,532.3,4.2,60.5,2,0,87.7
Jade Plant,clay,medium,young,27.8,28.0,49.7,504.0,6.0,61.2,1,0,98.3
Fern,sandy,medium,seedling,55.7,30.9,80.7942354642791,223.6,2.9,39.3,4,0,93.3
Jade Plant,loamy,small,young,10.4,20.9,67.6,999.1,7.2,47.4,1,0,97.9
Peace Lily,clay,large,young,77.6,35.9,86.63835001698529,436.2,4.1,54.2,5,0,91.0
Jade Plant,clay,small,seedling,32.4,17.2,90.7,914.7,8.0,45.4,1,0,61.2
Monstera,loamy,large,young,79.5,35.5,93.81304567591197,416.2,5.8,43.8,3,0,89.5
Spider Plant,sandy,small,young,32.7,23.9,78.8,356.9,4.0,43.0,2,0,96.3
Spider Plant,loamy,large,mature,33.9,38.0,72.3,410.9,4.6,11.3,1,1,90.0
Areca Palm,loamy,medium,seedling,65.3,18.6,87.8,361.9,6.9,51.6,3,0,86.5
Tulsi,clay,small,seedling,62.5,22.8,48.9,396.3,4.0,60.3,2,0,100.0
Monstera,loamy,medium,seedling,80.0,25.4,71.88177195969979,225.2,2.6,65.4,3,0,100.0
Peace Lily,sandy,small,seedling,58.4,31.5,61.1,548.8,4.5,16.6,4,0,91.6
Aloe Vera,sandy,small,mature,19.4,31.5,33.7,1152.8,9.5,41.7,1,0,100.0
Aloe Vera,loamy,small,young,4.9,35.9,69.8,1084.5,9.4,38.8,1,1,92.9
Fern,sandy,medium,mature,69.3,35.9,85.1,477.5,5.3,39.2,5,0,91.9
Monstera,sandy,small,seedling,60.6,36.3,63.24553364958894,288.1,4.0,62.3,3,0,84.0
Fern,sandy,large,seedling,75.4,30.0,92.2,348.8,5.4,29.4,5,0,94.9
Fern,loamy,medium,seedling,62.4,30.6,87.1705661568463,560.1,5.5,30.0,4,0,92.7
Monstera,loamy,large,mature,84.3,18.3,77.4,249.6,3.2,9.2,5,0,98.2
Peace Lily,sandy,small,young,73.1,37.3,72.6,149.9,2.2,24.2,5,0,87.3
Fern,sandy,large,young,60.4,18.7,94.1,512.6,5.7,38.3,4,0,100.0
Areca Palm,clay,medium,mature,37.5,31.0,60.0,487.7,4.4,22.6,4,1,95.7
Aloe Vera,loamy,medium,mature,15.7,23.3,38.3,681.8,9.0,9.2,1,0,100.0
Money Plant,clay,medium,mature,66.4,35.7,30.8,490.7,4.7,8.8,3,0,93.1
Snake Plant,clay,medium,young,38.3,18.3,80.2,438.4,5.8,19.5,2,0,97.0
Snake Plant,loamy,large,young,48.3,17.2,33.6,372.9,5.1,19.9,1,0,90.8
Areca Palm,sandy,large,young,37.4,34.4,57.7,537.5,6.2,21.8,2,1,97.9
Jade Plant,loamy,medium,young,15.4,32.0,63.0,848.0,8.2,5.0,1,0,100.0
Fern,sandy,medium,mature,81.6,24.3,91.4,346.0,4.3,43.7,3,0,97.2
Spider Plant,sandy,large,seedling,48.9,26.3,45.2,348.1,5.1,13.4,1,0,100.0
Peace Lily,clay,large,seedling,55.1,36.4,84.00168135105132,519.6,5.9,63.2,3,0,83.8
Fern,sandy,medium,mature,71.8,25.7,68.95434118973627,144.2,3.8,27.7,4,0,100.0
Peace Lily,clay,small,seedling,83.2,30.5,65.67189838676344,555.7,6.0,8.7,3,0,94.7
Fern,sandy,small,mature,74.1,34.1,90.28240880775108,444.2,4.1,56.9,4,0,100.0
Tulsi,clay,medium,mature,42.1,33.2,66.9,516.6,6.7,25.9,2,1,100.0
Spider Plant,loamy,small,mature,29.5,32.5,88.0,381.9,4.2,25.4,2,0,97.3
Tulsi,sandy,medium,mature,45.6,36.0,39.4,563.5,4.8,40.5,4,0,86.1
Fern,loamy,medium,young,53.4,23.1,61.01812474840981,147.0,3.6,40.1,3,1,95.9
Money Plant,clay,large,mature,48.9,31.7,40.8,328.5,6.8,49.6,4,0,100.0
Jade Plant,clay,medium,mature,23.4,37.7,63.7,1159.2,7.5,12.0,1,1,91.2
Areca Palm,loamy,small,seedling,42.0,19.8,84.7,472.9,5.2,12.8,4,0,99.0
Spider Plant,loamy,medium,young,28.3,26.2,64.8,550.0,4.4,22.2,2,0,99.9
Jade Plant,sandy,large,young,18.2,20.1,82.0,991.4,9.8,57.6,1,0,81.8
Areca Palm,sandy,small,seedling,67.2,29.0,25.9,559.8,4.3,2.4,3,0,95.7
Aloe Vera,loamy,small,young,10.0,22.1,92.7,359.6,6.7,70.0,1,0,85.0
Tulsi,sandy,medium,mature,64.5,28.9,31.1,329.2,6.9,67.2,4,0,100.0
Monstera,clay,large,mature,82.7,15.4,83.7,402.8,5.8,65.2,5,0,87.2
Money Plant,clay,medium,mature,60.4,36.6,51.7,593.3,5.4,42.1,3,0,88.9
Money Plant,sandy,small,young,58.3,19.2,46.4,539.5,5.1,40.9,2,0,99.4
Tulsi,clay,medium,mature,67.8,37.6,32.2,574.5,5.1,32.0,4,0,87.0
Areca Palm,clay,small,seedling,60.8,17.7,48.5,440.0,6.5,35.9,2,0,81.3
Tulsi,loamy,medium,seedling,52.2,33.8,66.0,506.4,5.5,62.5,3,0,91.9
Spider Plant,sandy,small,mature,19.9,22.9,67.3,595.9,6.5,34.5,2,1,100.0
Jade Plant,clay,small,mature,16.9,36.1,94.5,897.7,7.1,12.1,1,1,72.0
Areca Palm,clay,medium,mature,69.4,24.8,81.1,561.6,5.2,19.0,4,0,98.3
Areca Palm,loamy,large,young,57.3,23.9,43.1,523.4,6.9,25.1,3,0,100.0
Aloe Vera,clay,medium,young,25.7,34.9,70.3,307.1,6.5,26.2,1,1,84.4
Tulsi,loamy,large,seedling,67.6,27.9,44.1,394.4,5.8,16.3,4,0,100.0
Peace Lily,sandy,small,young,65.7,33.5,87.04982872213652,101.5,3.9,16.5,3,0,97.2
Fern,clay,medium,mature,49.7,19.3,81.02924658575743,248.1,3.2,3.1,4,1,100.0
Money Plant,clay,small,young,69.0,19.8,92.7,516.5,5.1,27.8,2,0,96.8
Monstera,sandy,medium,seedling,47.5,16.1,78.07838498105208,435.6,5.5,41.9,4,1,77.1
Monstera,clay,medium,young,82.5,29.9,90.23191493090933,374.3,5.0,61.3,4,0,100.0
Areca Palm,sandy,large,mature,57.6,25.9,32.8,527.4,6.1,20.4,2,0,100.0
Money Plant,sandy,small,seedling,52.2,29.5,55.5,562.2,4.3,23.6,4,0,88.9
Fern,clay,large,young,52.9,25.9,94.85457366900195,306.5,5.5,6.3,3,1,97.5
Peace Lily,clay,large,young,65.5,21.2,91.3,261.7,2.1,24.8,3,0,100.0
Tulsi,clay,small,seedling,49.9,32.5,27.0,429.8,5.4,33.9,4,0,89.8
Fern,loamy,small,seedling,71.6,28.8,90.19433787200413,338.2,4.3,35.4,3,0,97.5
Jade Plant,loamy,large,mature,5.4,37.2,92.2,724.3,8.9,65.8,1,1,60.0
Fern,clay,small,young,82.2,36.1,80.2572868191811,488.4,5.0,54.3,4,0,93.5
Peace Lily,sandy,small,young,80.8,21.1,67.17447285836424,493.6,4.2,31.8,5,0,100.0
Fern,sandy,small,seedling,54.6,20.8,83.9,498.0,5.5,49.7,3,1,80.1
Monstera,clay,large,seedling,68.7,26.0,64.11894306794179,273.8,3.8,36.4,3,0,100.0
Spider Plant,clay,small,mature,44.1,36.8,55.0,901.5,7.7,19.2,2,1,87.6
Monstera,sandy,large,mature,82.2,30.2,88.1,137.2,2.8,45.0,5,0,99.6
Peace Lily,clay,small,mature,67.4,34.0,64.34692722568363,141.3,3.4,65.7,3,0,95.4
Tulsi,loamy,large,mature,43.0,29.3,51.7,349.5,6.5,17.7,4,0,100.0
Spider Plant,clay,medium,seedling,37.2,37.5,27.1,765.1,8.0,57.2,1,1,60.6
Tulsi,loamy,medium,seedling,38.8,36.3,26.8,364.5,5.8,40.2,4,1,84.2
Money Plant,sandy,medium,seedling,51.7,19.6,71.5,599.0,4.1,61.5,4,0,100.0
Tulsi,sandy,medium,mature,31.1,35.1,79.7,316.8,6.7,69.2,2,1,73.0
Monstera,loamy,medium,seedling,73.4,36.1,81.00010682379812,476.1,5.5,37.8,4,0,82.5
Monstera,loamy,medium,mature,75.1,30.6,90.03074540169985,445.8,4.1,61.9,4,0,96.9
Fern,sandy,medium,young,76.2,34.6,77.65551464271047,172.5,2.7,46.5,3,0,100.0
Fern,loamy,large,mature,66.6,16.8,88.4,472.6,4.1,52.4,3,0,93.5
Jade Plant,clay,medium,young,6.6,32.1,56.7,608.9,9.2,51.0,1,1,82.9
Fern,clay,large,mature,57.3,17.6,77.86473568546623,151.1,2.5,29.3,3,0,87.9
